name,# tweets retweeted,# followers,last tweet retweeted
@wildernessSA,1,1059,RT @AusConservation: Two former SA senators giving evidence now to Committee in Adelaide #DefendEnviroOrgs
@ellinjaa,1,1932,"RT @AusConservation: The fine folk who turned up today to Vic Parliament to say ""Caring keeps Australian beautiful"" #DefendEnviroOrgs http:"
@ellensandell,1,5553,"RT @AusConservation: WATCH THIS VIDEO and join us at Vic Parliament lunchtime Monday, as the inquiry into environment groups meets inside h"
@jcalabra,1,1497,"RT @AusConservation: Canada tried to silence environment groups. Australia, don't let it happen here, writes David Suzuki in http://t.co/t5"
@vchris28,1,54,"RT @AusConservation: These Kiribati youth remain deeply unhappy about Peter Dutton's rising sea levels ""joke"" #ourstruggleisreal #climate h"
@jar_climate,1,1354,RT @AusConservation: Then irony of @TonyAbbottMHR policies is that they make no sense economically @NaomiAKlein @MelbWritersFest
@janice_martin5,1,539,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@emmsyish,1,855,RT @AusConservation: The fine folks of Melbourne holding photos of the places they love #DefendEnviroOrgs http://t.co/GRnHF296R8
@jo_m_chandler,1,1816,RT @AusConservation: Five island nations vulnerable to climate change have joined calls for a global moratorium on new coalmines. http://t.
@earthkath,1,1335,"RT @AusConservation: Canada tried to silence environment groups. Australia, don't let it happen here, writes David Suzuki in http://t.co/t5"
@darlingcat,1,1230,RT @AusConservation: Hey all - @ausconservation will live tweet from @NaomiAKlein presentation today at @MelbWritersFest from 6PM EST - joi
@gabon52,1,80,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@fabbag1951,1,149,"RT @AusConservation: Abbotts safeguard mechanism is effectively a license to pollute - read ACF's Susan Harter @renew_economy @GregHuntMP
"
@doctor_leah,1,19,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@earthwyze,1,134,RT @AusConservation: Many of the places we love saved because people cared and joined Australia's environment groups. #DefendEnviroOrgs htt
@earthmotherin,1,212,RT @AusConservation: Many of the places we love saved because people cared and joined Australia's environment groups. #DefendEnviroOrgs htt
@gardelou,1,289,RT @AusConservation: If we stay on the road we are on we face a radically different future. But it's not too late to change. @NaomiAKlein @
@doktrspin,1,153,RT @AusConservation: The @ComCouncil tells inquiry that charities employ five times more people than mining does in Australia. #DefendEnvir
@frippet,1,1586,RT @AusConservation: ACF is looking for a Brand &amp; Engagement Facilitator. Selection criteria and other info here: http://t.co/JyhsPW6qTq Ap
@geoffgourley,1,1798,"RT @AusConservation: Australia must be a nation that is agile, innovative and creative; (with regard) renewable energy @kellyoshanassy http"
@fluffymason,1,39,RT @AusConservation: #Uranium miner in firing line: Energy Resources of Aust is responsible for an uncontrolled bushfire damaging #Kakadu. 
@vicenvironment,1,81,RT @AusConservation: Treating water as merely a farm input was how we stuffed up the Murray. Putting it in Ag portfolio repeats mistake htt
@donaldpelvin1,1,783,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@dorns2,1,220,RT @AusConservation: The fine folks of Melbourne holding photos of the places they love #DefendEnviroOrgs http://t.co/GRnHF296R8
@verbatorium,1,147,RT @AusConservation: If local communities rather than fossil fuel companies control their own energy they won't be profit driven @NaomiAKle
@fredknerks,1,116,RT @AusConservation: Uranium deal with India - a jobs and growth boom? asks @FoEAustralia Jim Green @ClimateSpec http://t.co/SFvyji6ByN
@ecocreative,1,5273,RT @AusConservation: Hey all - @ausconservation will live tweet from @NaomiAKlein presentation today at @MelbWritersFest from 6PM EST - joi
@djrsee,1,189,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@grpcptn,1,1555,"RT @AusConservation: Committee members attempt to wedge groups with false dichotomy of ""advocacy"" vs ""on ground"" work. @Naturefsa resists. "
@esshg3,1,277,RT @AusConservation: You cant even knock on the door of philanthropy without DGR status says Jonathan Duddles from @GreeningAust #DefendEn
@dudleybranson,1,67,"RT @AusConservation: With a big El Nio coming &amp; predictions of a bad bushfire season, the govt should look to safeguard our future from cl"
@egirrrlie,1,247,RT @AusConservation: Poll shows voters believe the govt is trying to silence conservationists.  https://t.co/x6jnVDqGWY
@greensinspa,1,1679,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@greened_kylie,1,50,RT @AusConservation: North Stradbroke Island should be renamed Minjerribah  the island's traditional indigenous name: http://t.co/YiLNtpWO
@gmcnevin,1,891,"RT @AusConservation: Australia must be a nation that is agile, innovative and creative; (with regard) renewable energy @kellyoshanassy http"
@deary29,1,22,"RT @AusConservation: With a big El Nio coming &amp; predictions of a bad bushfire season, the govt should look to safeguard our future from cl"
@eddiestaltari,1,129,"RT @AusConservation: Dear #G20,
Looking for ways to fund climate action? Cut fossil fuel subsidies. 
Sincerely, the world. #StopFundingFoss"
@djmer1,1,3049,RT @AusConservation: It's an honour to be out here today with you @aycc @FoEAustralia @CounterActOz @envirovic #DefendEnviroOrgs
@etalbert,1,1826,"RT @AusConservation: Federal govts 'de-radicalization kit' linking extremism to environmentalism ""very disappointing"" says @AusConservation"
@detonatoa,1,60,"RT @AusConservation: On climate change @TonyAbbottMHR ""acts is if Australia is cut off from the rest of the planet,"" writes @ToniHassan htt"
@ecoforestry,1,1041,RT @AusConservation: Sick of Pacific islanders' climate struggle being belittled? Join the rally in #Brisbane today. #ourstruggleisreal htt
@glynmoody,1,18222,RT @AusConservation: Environment groups concerned #TPP could restrict Australian policy making: http://t.co/8LgMXHdPGB #climate @KellyOShan
@dippingthetoe,1,135,"RT @AusConservation: Feds 'de-radicalization kit' linking extremism to environmentalism ""very disappointing"" says ACF's @JonathanLaNauze ht"
@willybach2011,1,2175,RT @AusConservation: Hey all - @ausconservation will live tweet from @NaomiAKlein presentation today at @MelbWritersFest from 6PM EST - joi
@davey1233,1,1476,RT @AusConservation: There are..rogue people that..call themselves 'pro-nuclear environmentalists'.. individuals and not organisations http
@malachytarpey,1,405,"RT @AusConservation: Australian Env Foundation"" finding it difficult to articulate what their environmental purpose is #DefendEnviroOrgs"
@john_cronin48,1,1770,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@ray_wilton,1,1083,RT @AusConservation: http://t.co/t5F5d6oHIu http://t.co/a5T1Pv7wnN
@rubin_angela,1,286,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@roseofthesealee,1,868,RT @AusConservation: If we treat climate as the crisis it is - it can be an opportunity to build a better society @NaomiAKlein @MelbWriters
@rodmckelvey,1,47,RT @AusConservation: If local communities rather than fossil fuel companies control their own energy they won't be profit driven @NaomiAKle
@robertleon35,1,52,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@robbibt,1,973,RT @AusConservation: Environmental water to remain with the environment department @AusConservation @JonathanLaNauze   https://t.co/RZhjTwU
@rk_rema,1,147,RT @AusConservation: Five island nations vulnerable to climate change have joined calls for a global moratorium on new coalmines. http://t.
@riotintosuknews,1,888,"RT @AusConservation: Abbotts safeguard mechanism is effectively a license to pollute - read ACF's Susan Harter @renew_economy @GregHuntMP
"
@thepointscorer,1,534,RT @AusConservation: India uranium exports red-light a test for Government writes @NukeDaveSweeney @independentaus https://t.co/wkE0cmnCi2
@richardcranston,1,1090,RT @AusConservation: The fine folks of Melbourne holding photos of the places they love #DefendEnviroOrgs http://t.co/GRnHF296R8
@rgovett1,1,1406,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@raycaryl,1,1282,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@punchumgum,1,990,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@joie_co,1,45,"RT @AusConservation: Dear #G20,
Looking for ways to fund climate action? Cut fossil fuel subsidies. 
Sincerely, the world. #StopFundingFoss"
@prrsimons,1,186,RT @AusConservation: Restriction of DGR status of env groups might impact implied right of freedom of political communication: @thelawcounc
@poped01,1,1068,RT @AusConservation: Surgeon Prof Kingsley Faulkner from @DocsEnvAus: defending a healthy environment sometimes means conflict with politic
@pixieodeath,1,237,RT @AusConservation: As young people we don t believe there needs to be a tension between jobs and environment says Kirsty Albion of @AYCC
@thewollemipine,1,798,RT @AusConservation: Then irony of @TonyAbbottMHR policies is that they make no sense economically @NaomiAKlein @MelbWritersFest
@piltzbp,1,1356,RT @AusConservation: Tony Abbott faces cool reception in Port Moresby this week at Pacific Island Forum from leaders over climate change ht
@pibailey,1,226,RT @AusConservation: The suggestion that there's a red line dividing 'advocacy' &amp; 'on ground' work is false. @AndrewjGiles gets to the of
@peterjcoombes,1,236,RT @AusConservation: Treating water as merely a farm input was how we stuffed up the Murray. Putting it in Ag portfolio repeats mistake htt
@petergalvin1_l,1,54,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@peterfra,1,1651,RT @AusConservation: The combination of climate change and a system that devalues black lives is terrifying - that was Katrina @NaomiAKlein
@thinkleftbtrite,1,53,RT @AusConservation: If we treat climate as the crisis it is - it can be an opportunity to build a better society @NaomiAKlein @MelbWriters
@paulch_6,1,2066,"RT @AusConservation: Federal govts 'de-radicalization kit' linking extremism to environmentalism ""very disappointing"" says @AusConservation"
@sabinejessen,1,447,RT @AusConservation: Plastic: the wonder material filling our oceans and beaches. http://t.co/NUqYrPT4Zb @RadioNational http://t.co/4xnKx3u
@safacles,1,1703,"RT @AusConservation: These Kiribati youth remain deeply unhappy about Peter Dutton's rising sea levels ""joke"" #ourstruggleisreal #climate h"
@sam_i_am_dada,1,261,RT @AusConservation: http://t.co/t5F5d6oHIu http://t.co/a5T1Pv7wnN
@sarahmiow,1,175,"RT @AusConservation: Canada tried to silence environment groups. Australia, don't let it happen here, writes David Suzuki in http://t.co/t5"
@tanelsonaus,1,1445,"RT @AusConservation: Vast areas of eastern, southern and western Australia set to experience worse than normal summer bushfire conditions h"
@susan0816,1,285,RT @AusConservation: Last but not least today in Perth @DocsEnvAus to talk about their work to improve the environment for human health. #D
@suntrixsolar,1,351,"RT @AusConservation: Committee meets today in the state with the highest growth rate of CO2 pollution, says @PiersVerstegen @ConservationWA"
@sunriseoz,1,2097,"RT @AusConservation: These Kiribati youth remain deeply unhappy about Peter Dutton's rising sea levels ""joke"" #ourstruggleisreal #climate h"
@suemessina,1,69,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@suejackson_melb,1,469,RT @AusConservation: Check out @NaomiAKlein debating Tom Switzer on @QandA last night - riveting viewing - now online - http://t.co/fPZd451
@streamsidesuter,1,56,RT @AusConservation: Environmental water to remain with the environment department @AusConservation @JonathanLaNauze   https://t.co/RZhjTwU
@stopthefrack,1,188,RT @AusConservation: Five island nations vulnerable to climate change have joined calls for a global moratorium on new coalmines. http://t.
@stephencurly,1,277,RT @AusConservation: The @ComCouncil tells inquiry that charities employ five times more people than mining does in Australia. #DefendEnvir
@squig_,1,3249,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@spitfiretrailer,1,82,RT @AusConservation: Plastic: the wonder material filling our oceans and beaches. http://t.co/NUqYrPT4Zb @RadioNational http://t.co/4xnKx3u
@sparkii,1,1527,RT @AusConservation: 1000s die prematurely from coal pollution..And you think that is amazing? Disgraceful. @kellyoshanassy #coalisamazing 
@thealien_earth,1,1891,RT @AusConservation: Then irony of @TonyAbbottMHR policies is that they make no sense economically @NaomiAKlein @MelbWritersFest
@somuchbullsh,1,1350,"RT @AusConservation: Evidence before inquiry about @TheIPA (which has DGR status) funding a book by overseas climate denier. ""On ground"" wo"
@smithjay505,1,181,RT @AusConservation: Advocacy is about making the planet better @kellyoshanassy tells the crowd at #DefendEnviroOrgs
@sianprior,1,1840,RT @AusConservation: Karen Alexander OAM tells C'ttee its far more efficient to prevent the problem than come in later and fix it #Defen
@shannanheath21,1,156,RT @AusConservation: Sick of Pacific islanders' climate struggle being belittled? Join the rally in #Brisbane today. #ourstruggleisreal htt
@shamaroo,1,784,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@settlepetal,1,235,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@seaprod100,1,185,RT @AusConservation: What does the buyback cap really mean for the rivers of the #MurrayDarling Basin? http://t.co/fxB3XbU1SE https://t.co/
@thelittleisland,1,725,"RT @AusConservation: These Kiribati youth remain deeply unhappy about Peter Dutton's rising sea levels ""joke"" #ourstruggleisreal #climate h"
@seabirdrescue,1,7391,RT @AusConservation: The @ComCouncil tells inquiry that charities employ five times more people than mining does in Australia. #DefendEnvir
@scottyhopper,1,69,RT @AusConservation: Buyback cap jeopardises health of Murray-Darling river system: ACF @JonathanLaNauze http://t.co/fxB3XbU1SE #auspol #ag
@path_ethic,1,207,RT @AusConservation: Fracking has brought extractive practices that used to happen just in 'sacrifice' zones to our doorstep @NaomiAKlein @
@parvaest,1,477,RT @AusConservation: Environment groups concerned #TPP could restrict Australian policy making: http://t.co/8LgMXHdPGB #climate @KellyOShan
@thisisthestand,1,653,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@luxepix,1,635,RT @AusConservation: Sick of Pacific islanders' climate struggle being belittled? Join the rally in #Brisbane today. #ourstruggleisreal htt
@lorr_rogers,1,5,RT @AusConservation: Plastic: the wonder material filling our oceans and beaches. http://t.co/NUqYrPT4Zb @RadioNational http://t.co/4xnKx3u
@lizziemettam,1,184,"RT @AusConservation: Canada tried to silence environment groups. Australia, don't let it happen here, writes David Suzuki in http://t.co/t5"
@littleaussie785,1,363,RT @AusConservation: The fine folks of Melbourne holding photos of the places they love #DefendEnviroOrgs http://t.co/GRnHF296R8
@tugg_australia,1,46,RT @AusConservation: ACF holding Premier screening of Naomi Klein's This Change's Everything in Brisbane on Monday October 19 - tix here ht
@liannerowepop,1,604,"RT @AusConservation: These Kiribati youth remain deeply unhappy about Peter Dutton's rising sea levels ""joke"" #ourstruggleisreal #climate h"
@liam_b,1,552,RT @AusConservation: As young people we don t believe there needs to be a tension between jobs and environment says Kirsty Albion of @AYCC
@leah_galvin,1,1498,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@landrights4all,1,737,RT @AusConservation: Treating water as merely a farm input was how we stuffed up the Murray. Putting it in Ag portfolio repeats mistake htt
@l_mcmaster,1,43,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@kyliesoanes,1,788,"RT @AusConservation: These Kiribati youth remain deeply unhappy about Peter Dutton's rising sea levels ""joke"" #ourstruggleisreal #climate h"
@knittingnannasT,1,1296,RT @AusConservation: We believe there is a legacy of nuclear waste..which we need to manage responsibly properly maturely @NukeDaveSweeney 
@kdavis_d,1,244,"RT @AusConservation: The anti Fracking movement was formed at the grass roots by indigenous people, farmers and local people. @NaomiAKlein "
@kbbuzza,1,391,RT @AusConservation: Plastic: the wonder material filling our oceans and beaches. http://t.co/NUqYrPT4Zb @RadioNational http://t.co/4xnKx3u
@kateauty,1,1397,RT @AusConservation: Environmental water to remain with the environment department @AusConservation @JonathanLaNauze   https://t.co/RZhjTwU
@twistedblaster,1,638,RT @AusConservation: Many of the places we love saved because people cared and joined Australia's environment groups. #DefendEnviroOrgs htt
@kashish0711,1,63,RT @AusConservation: The Australian PM should look at Canada because Stephen Harper is about to get thrown out of office @NaomiAKlein @Melb
@uketukeman,1,969,"RT @AusConservation: Canada tried to silence environment groups. Australia, don't let it happen here, writes David Suzuki in http://t.co/t5"
@kaam_kaata,1,48,"RT @AusConservation: These Kiribati youth remain deeply unhappy about Peter Dutton's rising sea levels ""joke"" #ourstruggleisreal #climate h"
@ulamajewski,1,432,RT @AusConservation: Advocacy is about making the planet better @kellyoshanassy tells the crowd at #DefendEnviroOrgs
@jurylady5,1,8722,"RT @AusConservation: Friends of the Earth up now, who have a LOT of supporters in the room @FoEAustralia #DefendEnviroOrgs"
@joykyriacou,1,826,RT @AusConservation: http://t.co/t5F5d6oHIu http://t.co/a5T1Pv7wnN
@joybelle46,1,1631,RT @AusConservation: The suggestion that there's a red line dividing 'advocacy' &amp; 'on ground' work is false. @AndrewjGiles gets to the of
@jot_au,1,4465,RT @AusConservation: Whitehaven Coal tells #HoR inquiry of its own political campaigning with @MineralsCouncil #DefendEnviroOrgs #auspol
@lumpylangham,1,41,RT @AusConservation: Hurrah for all these lovely people who have turned out to #DefendEnviroOrgs http://t.co/NKX7URJVVD
@lydiadaye,1,242,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@tmhol,1,586,RT @AusConservation: Many of the places we love saved because people cared and joined Australia's environment groups. #DefendEnviroOrgs htt
@m2plater,1,40,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@tomdoig,1,1609,RT @AusConservation: If we treat climate as the crisis it is - it can be an opportunity to build a better society @NaomiAKlein @MelbWriters
@ozpsych,1,1523,RT @AusConservation: Treating water as merely a farm input was how we stuffed up the Murray. Putting it in Ag portfolio repeats mistake htt
@outofthepickle,1,484,"RT @AusConservation: The fine folk who turned up today to Vic Parliament to say ""Caring keeps Australian beautiful"" #DefendEnviroOrgs http:"
@nomadityinfuse,1,1572,RT @AusConservation: Following expansion approval for Acland coal mine QLD's corruption watchdog asked to investigate political donations h
@ningbojoe,1,1300,RT @AusConservation: Treating the #MurrayDarling as merely a water source for irrigators is what stuffed up the river: @JonathanLaNauze htt
@nick_c1987,1,27,"RT @AusConservation: Abbotts safeguard mechanism is effectively a license to pollute - read ACF's Susan Harter @renew_economy @GregHuntMP
"
@tony_walters2,1,15,RT @AusConservation: @PhilanthropyAus would be very concerned about any impact on the ability of env groups to do advocacy #DefendEnviroOrgs
@mtothehart,1,580,RT @AusConservation: Sick of Pacific islanders' climate struggle being belittled? Join the rally in #Brisbane today. #ourstruggleisreal htt
@mrn487,1,1469,RT @AusConservation: Then irony of @TonyAbbottMHR policies is that they make no sense economically @NaomiAKlein @MelbWritersFest
@mrl58,1,1200,RT @AusConservation: 1000s die prematurely from coal pollution..And you think that is amazing? Disgraceful. @kellyoshanassy #coalisamazing 
@morepraxis,1,469,"RT @AusConservation: On climate change @TonyAbbottMHR ""acts is if Australia is cut off from the rest of the planet,"" writes @ToniHassan htt"
@mongonolikeyou,1,53,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@missionbilyana,1,132,"RT @AusConservation: The anti Fracking movement was formed at the grass roots by indigenous people, farmers and local people. @NaomiAKlein "
@tonybmorton,1,1525,RT @AusConservation: The @ComCouncil tells inquiry that charities employ five times more people than mining does in Australia. #DefendEnvir
@mikerdot,1,407,RT @AusConservation: http://t.co/t5F5d6oHIu http://t.co/a5T1Pv7wnN
@menfromearth,1,21,"RT @AusConservation: Give us renewables, super funds tell the PM @TheNewDailyAu @TurnbullMalcolm http://t.co/qVWOMxJnWY"
@mediawatcher83,1,784,RT @AusConservation: The @ComCouncil tells inquiry that charities employ five times more people than mining does in Australia. #DefendEnvir
@treacl,1,777,RT @AusConservation: We believe there is a legacy of nuclear waste..which we need to manage responsibly properly maturely @NukeDaveSweeney 
@martinrev21,1,660,RT @AusConservation: Following expansion approval for Acland coal mine QLD's corruption watchdog asked to investigate political donations h
@mariachilcott,1,410,RT @AusConservation: Plastic: the wonder material filling our oceans and beaches. http://t.co/NUqYrPT4Zb @RadioNational http://t.co/4xnKx3u
@mariaatkinson,1,1055,"RT @AusConservation: ""Coal is a dangerous little black rock"": ACF's CEO @KellyOShanassy.  https://t.co/J0SSSHggVi"
@majag555,1,18,RT @AusConservation: 1000s die prematurely from coal pollution..And you think that is amazing? Disgraceful. @kellyoshanassy #coalisamazing 
@maddy_jones15,1,196,RT @AusConservation: 1000s die prematurely from coal pollution..And you think that is amazing? Disgraceful. @kellyoshanassy #coalisamazing 
@croakeyblog,1,13756,RT @AusConservation: If we treat climate as the crisis it is - it can be an opportunity to build a better society @NaomiAKlein @MelbWriters
@1306Chomley,1,109,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@cleonajah,1,186,RT @AusConservation: 1000s die prematurely from coal pollution..And you think that is amazing? Disgraceful. @kellyoshanassy #coalisamazing 
@Hootville,1,1645,RT @AusConservation: The @ComCouncil tells inquiry that charities employ five times more people than mining does in Australia. #DefendEnvir
@HenriMcAlister,1,856,"RT @AusConservation: The @MineralsCouncil up now at inquiry into environment groups in Canberra, appearing alongside Whitehaven Coal #Defen"
@Heloise42G,1,51,"RT @AusConservation: Advocacy leads to national parks, which leads to tourism $$ for Australia: National Parks Australia Council. #DefendEn"
@HelgaSvendsen,1,1154,"RT @AusConservation: Economic savings of environmental approval changes exaggerated, study by @WWF_Australia &amp; @theAusInstitute shows: http"
@HapgoodK,1,335,"RT @AusConservation: Canada tried to silence environment groups. Australia, don't let it happen here, writes David Suzuki in http://t.co/t5"
@Hankatfrogs,1,1187,"RT @AusConservation: Dear #G20,
Looking for ways to fund climate action? Cut fossil fuel subsidies. 
Sincerely, the world. #StopFundingFoss"
@Hampton1Paul,1,133,RT @AusConservation: The fine folks of Melbourne holding photos of the places they love #DefendEnviroOrgs http://t.co/GRnHF296R8
@HHuenteler,1,120,RT @AusConservation: Then irony of @TonyAbbottMHR policies is that they make no sense economically @NaomiAKlein @MelbWritersFest
@HEX_____,1,2555,RT @AusConservation: Poll shows voters believe the govt is trying to silence conservationists.  https://t.co/x6jnVDqGWY
@GroperBlue,1,352,"RT @AusConservation: Advocacy leads to national parks, which leads to tourism $$ for Australia: National Parks Australia Council. #DefendEn"
@GreenpeaceAustP,1,36825,"RT @AusConservation: Committee members attempt to wedge groups with false dichotomy of ""advocacy"" vs ""on ground"" work. @Naturefsa resists. "
@GreenlineEnviro,1,135,RT @AusConservation: You can watch @NaomiAKlein talk from today's Festival of dangerous ideas in full here via  @getuporg https://t.co/pdhm
@Greenies_Garden,1,73,"RT @AusConservation: ACF's @PaulSinclair01 talks salinity, farming, the Murray &amp; more with Sarah Hudson @theWeeklyTimes https://t.co/3gn2Qd"
@GreatForestNP,1,1264,"RT @AusConservation: Vast areas of eastern, southern and western Australia set to experience worse than normal summer bushfire conditions h"
@GoodenBen,1,1534,"RT @AusConservation: Vast areas of eastern, southern and western Australia set to experience worse than normal summer bushfire conditions h"
@GillianMonahan,1,1013,"RT @AusConservation: Journey to country pilot heralds new collaboration between ACF, Olkola Aboriginal Corporation and Intrepid Travel ht"
@GillKing01,1,422,"RT @AusConservation: Dear #G20,
Looking for ways to fund climate action? Cut fossil fuel subsidies. 
Sincerely, the world. #StopFundingFoss"
@GilesParkinson,1,3763,RT @AusConservation: Frydenberg must direct infrastructure fund to real nation building @renew_economy @MattiLRose http://t.co/dIBqPFvAeH
@GeminiiAussie,1,16,RT @AusConservation: No green light for yellowcake: Parliament urges caution with India #uranium deal: http://t.co/plzAMmREwt @NukeDaveSwee
@Garth_P_Newton,1,118,"RT @AusConservation: Dear #G20,
Looking for ways to fund climate action? Cut fossil fuel subsidies. 
Sincerely, the world. #StopFundingFoss"
@GarryMc000,1,324,RT @AusConservation: Karen Alexander OAM tells C'ttee its far more efficient to prevent the problem than come in later and fix it #Defen
@GailJazz5,1,1704,"RT @AusConservation: On climate change @TonyAbbottMHR ""acts is if Australia is cut off from the rest of the planet,"" writes @ToniHassan htt"
@GailCoastie,1,7504,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@GCobber99,1,3542,RT @AusConservation: Whitehaven Coal tells #HoR inquiry of its own political campaigning with @MineralsCouncil #DefendEnviroOrgs #auspol
@G11Jen,1,20,"RT @AusConservation: The @MineralsCouncil up now at inquiry into environment groups in Canberra, appearing alongside Whitehaven Coal #Defen"
@FromyhrT,1,465,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@Fishcare_Vic,1,272,RT @AusConservation: Plastic: the wonder material filling our oceans and beaches. http://t.co/NUqYrPT4Zb @RadioNational http://t.co/4xnKx3u
@FAotC,1,3271,RT @AusConservation: 15 minutes until @NaomiAKlein expected on stage here in second row at @MelbWritersFest  with @AusConservation
@HooncheeW,1,397,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@HughK1980,1,123,"RT @AusConservation: WATCH THIS VIDEO and join us at Vic Parliament lunchtime Monday, as the inquiry into environment groups meets inside h"
@Enviroblogger,1,2780,RT @AusConservation: Many of the places we love saved because people cared and joined Australia's environment groups. #DefendEnviroOrgs htt
@Humdiha,1,470,RT @AusConservation: The @ComCouncil tells inquiry that charities employ five times more people than mining does in Australia. #DefendEnvir
@Lexine_Annette,1,17,RT @AusConservation: ACF is looking for a Brand &amp; Engagement Facilitator. Selection criteria and other info here: http://t.co/JyhsPW6qTq Ap
@LeighMiranda4,1,178,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@LaurenARickards,1,141,"RT @AusConservation: The fine folk who turned up today to Vic Parliament to say ""Caring keeps Australian beautiful"" #DefendEnviroOrgs http:"
@Kundu_,1,686,RT @AusConservation: Lively evidence currently from a gentleman unhappy that Carmichael stopped due to a bloody skink and an ornamental sn
@Kindacalm,1,404,"RT @AusConservation: Canada tried to silence environment groups. Australia, don't let it happen here, writes David Suzuki in http://t.co/t5"
@KellyODonnell11,1,969,"RT @AusConservation: On climate change @TonyAbbottMHR ""acts is if Australia is cut off from the rest of the planet,"" writes @ToniHassan htt"
@KaraChurch13,1,75,RT @AusConservation: We are tweeting live from the parliamentary hearing into enviro groups at Vic State Parliament (PS - come to the rally
@KNELLERJUNE,1,808,RT @AusConservation: Australia resists new global push for nuclear disarmament http://t.co/XCm0xfEPYl
@JulesySJones,1,260,RT @AusConservation: The @ComCouncil tells inquiry that charities employ five times more people than mining does in Australia. #DefendEnvir
@JoshMeadows3,1,765,RT @AusConservation: Environment groups concerned #TPP could restrict Australian policy making: http://t.co/8LgMXHdPGB #climate @KellyOShan
@JosMirek,1,616,RT @AusConservation: Katrina showed the worst legacy of neoliberalism - the 'can't do government' layered with racism @NaomiAKlein @MelbWri
@JohnEClements,1,405,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@JimRHoughton,1,1326,RT @AusConservation: Only 22 per cent support Abbott govt plan to stop community groups going to court to defend the environment: http://t.
@Jessicawheelock,1,324,RT @AusConservation: Five island nations vulnerable to climate change have joined calls for a global moratorium on new coalmines. http://t.
@JayStill4,1,226,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@JanetteMattey,1,785,RT @AusConservation: Poll shows Australians do not support govt push to strip communities of right to defend nature: http://t.co/aOtuZvErvf
@Jane17220975,1,246,RT @AusConservation: Nuclear power Royal Commission told renewables are main game for future energy needs @NukeDaveSweeney http://t.co/jyeK
@Jacqui_Remond,1,126,"RT @AusConservation: Journey to country pilot heralds new collaboration between ACF, Olkola Aboriginal Corporation and Intrepid Travel ht"
@JackieDel,1,185,RT @AusConservation: ONLY one in four Newcastle residents thinks investing in coal is financially safe http://t.co/wLnVwY0bFp
@JackAnderson75,1,912,RT @AusConservation: 1000s die prematurely from coal pollution..And you think that is amazing? Disgraceful. @kellyoshanassy #coalisamazing 
@JCrooka,1,867,RT @AusConservation: We need to talk about climate change as a profound moral crisis @NaomiAKlein @MelbWritersFest
